Feature,LR_AbsCoef,SVM_AbsCoef,LR_Rank,SVM_Rank,AvgRank
RXPACC,1.861425287928084,0.6418271045269058,1,1,1.0
MAX_NOISE,0.754802283831441,0.21424655657092265,2,2,2.0
STDEV_NOISE,0.5283042032827624,0.1407467439104898,3,3,3.0
RANGE,0.39811102397097003,0.12637427079304386,4,4,4.0
FP_IDX,0.3498703654942379,0.11304735260236641,5,5,5.0
FP_AMP3,0.3200426244691604,0.10019310330132569,6,6,6.0
CIR_PWR,0.22329686398479318,0.09462996614725128,8,7,7.5
CIR749,0.2231254449193454,0.06675681212510186,9,10,9.5
SNR_dB,0.21096649319273775,0.08177922905414153,11,8,9.5
CIR740,0.20784951168624127,0.07165411126312925,12,9,10.5
CIR745,0.18866606476085337,0.062383115729420825,13,11,12.0
CIR738,0.17522844787453454,0.05709574328757442,15,12,13.5
CIR747,0.18585244046564192,0.05602185551364606,14,13,13.5
CIR754,0.16774955775215059,0.05251627433498493,16,14,15.0
CIR752,0.15093559951584287,0.04592752138891932,17,15,16.0
CIR755,0.14462405559314478,0.04478094753772683,18,16,17.0
CIR753,0.14151025572698978,0.04275575924917044,19,17,18.0
CIR750,0.11912184329733116,0.03749200960047779,21,20,20.5
CIR743,0.1114207514519428,0.04076093167442308,23,18,20.5
CIR751,0.12161777715439044,0.03617830284485108,20,22,21.0
CIR746,0.1155256898446492,0.03682167657470713,22,21,21.5
CIR730,0.10942143579273692,0.03763340138072205,25,19,22.0
CIR835,0.10955784614923589,0.033015138264628416,24,23,23.5
CIR813,0.10373603275515342,0.032980426762472974,27,24,25.5
CIR756,0.09774004434172313,0.0305650463299582,28,25,26.5
CIR757,0.09394589816783168,0.028118796359555664,29,27,28.0
CIR810,0.09356107103868946,0.02831246168517158,30,26,28.0
FP_AMP1,0.24086295259008306,0.017923066430074536,7,50,28.5
CIR836,0.08787057118266978,0.027349552462774967,33,29,31.0
CIR771,0.08608242064624913,0.026721552916047536,34,30,32.0
CIR748,0.08121425855168053,0.028092141734534046,36,28,32.0
SNR,0.21722104545150112,0.017210668217234538,10,55,32.5
CIR739,0.08941963403810049,0.023596943155180485,32,36,34.0
CIR767,0.07962960480078901,0.02610494086197937,37,31,34.0
CIR801,0.08346975525380312,0.02521133683483076,35,34,34.5
CIR744,0.09264988498424893,0.02253568796505043,31,38,34.5
CIR783,0.0786282060813175,0.025914569234097837,38,32,35.0
CIR831,0.07573941889585896,0.02353666166036388,39,37,38.0
CIR815,0.0714111690364088,0.023641099152093937,42,35,38.5
CIR758,0.0730937982352977,0.021766054406209063,40,40,40.0
CIR808,0.07248868004083597,0.0216281347257196,41,41,41.0
CIR742,0.060197426989952466,0.025296048139684207,50,33,41.5
CIR773,0.06581493110367219,0.022237277547660885,45,39,42.0
CIR797,0.06935917469036221,0.020991425916353834,43,42,42.5
CIR804,0.06726812706166763,0.019659684384116836,44,45,44.5
CIR821,0.060929764486688194,0.02070504585134753,48,43,45.5
CIR761,0.06243830984335135,0.01908499693741805,47,47,47.0
CIR790,0.060326506137512545,0.019154575731184568,49,46,47.5
CIR787,0.05924800634557176,0.020599998178658693,52,44,48.0
CIR792,0.05594055790639224,0.018843529744133915,54,48,51.0
CIR834,0.05740538327492042,0.01877682333822925,53,49,51.0
CIR779,0.05443172951728159,0.01769744156255991,57,52,54.5
CIR812,0.05451723240892317,0.0173099943081544,55,54,54.5
CIR735,0.06432693197082402,0.013975519967852484,46,64,55.0
CIR778,0.051584899427190356,0.01785793053916108,59,51,55.0
CIR817,0.05447101997137908,0.01677963132798579,56,56,56.0
CIR785,0.04881154017395999,0.01654875746710553,61,57,59.0
CIR816,0.050026741620464464,0.015213619358799058,60,59,59.5
CIR733,0.04235522059247013,0.017447017837312683,69,53,61.0
CIR732,0.05215567700262656,0.013953601676740817,58,65,61.5
CIR781,0.044990453000777905,0.01543105941241966,65,58,61.5
CIR775,0.04305179743863974,0.014893159816423989,68,60,64.0
CIR820,0.044979106434577,0.014306700981871654,66,62,64.0
CIR760,0.04369200571287985,0.014112630547625342,67,63,65.0
CIR759,0.0454403382283619,0.01320633638745315,63,68,65.5
CIR796,0.047316164389586766,0.013203240391306803,62,69,65.5
CIR844,0.03818191252634305,0.014307398905086014,75,61,68.0
CIR795,0.04081655428311067,0.013811291816468063,71,66,68.5
CIR769,0.04130680858588898,0.012665655547034674,70,72,71.0
CIR828,0.0374487273954771,0.01358125375493984,76,67,71.5
PREAM_LEN,0.10443385727357637,0.003717885723323542,26,118,72.0
CIR802,0.045438778612672245,0.011560362360630322,64,80,72.0
CIR784,0.03949336842053735,0.011949212883563579,72,75,73.5
CIR842,0.037261452241458534,0.012087027751243247,77,73,75.0
CIR777,0.034430012663028,0.012690748740507152,83,71,77.0
CIR818,0.03581662728744725,0.012018188667479161,80,74,77.0
CIR741,0.059708234701866966,0.005796129520910187,51,106,78.5
CIR764,0.037172549222333214,0.011762179822669546,78,79,78.5
CIR788,0.0359604841993364,0.011894520906110291,79,78,78.5
CIR766,0.033381758892669935,0.011904560961137829,85,77,81.0
CIR824,0.03837782581862987,0.009859979386990752,74,89,81.5
CIR806,0.03924228365047882,0.009505075358046107,73,91,82.0
CIR843,0.031381724344833425,0.011933072720568762,88,76,82.0
CIR837,0.035798010170126175,0.0108018506301496,81,84,82.5
CIR832,0.035047264095740605,0.011023651539389645,82,83,82.5
CIR786,0.033706974707456344,0.010651677854632524,84,85,84.5
CIR789,0.032423492009590396,0.011316069005217783,87,82,84.5
CIR774,0.029878867276295504,0.011489832746287619,91,81,86.0
CIR826,0.0330241370441575,0.009537382118071354,86,90,88.0
CIR794,0.030958593577988722,0.010283773301559466,89,87,88.0
CIR847,0.029344048512354195,0.010400391139371181,92,86,89.0
CIR736,0.01800202549796285,0.012830510774307038,111,70,90.5
CIR822,0.0301351848437843,0.00941918680689022,90,92,91.0
CIR762,0.028082620766838515,0.009307349414498818,93,94,93.5
CIR763,0.0274176859068919,0.009338699336625721,95,93,94.0
CIR825,0.02039209945341442,0.010014026608027566,103,88,95.5
CIR846,0.025974397379074678,0.007909279637194634,97,96,96.5
CIR838,0.028024404236068574,0.007058272468952781,94,100,97.0
CIR782,0.027339480796005195,0.006939623236532442,96,101,98.5
CIR793,0.022959556753498794,0.007211947656998458,99,98,98.5
CIR765,0.025070221329813222,0.007094892830441814,98,99,98.5
CIR809,0.020902980508874548,0.0076289350517717265,102,97,99.5
CIR803,0.018573888022742912,0.00897506037420684,107,95,101.0
CIR807,0.021092297415621547,0.005087771604942144,101,109,105.0
CIR780,0.018885744630819882,0.00618238404396322,106,104,105.0
CIR830,0.018512563438191625,0.006441038508134561,108,103,105.5
CIR800,0.019527899925516946,0.005131094491555854,104,108,106.0
CIR829,0.02165803386335729,0.004558411849050716,100,112,106.0
CIR833,0.016527943991316178,0.006545715113078746,112,102,107.0
CIR849,0.018344048535951597,0.0047268891280766,110,111,110.5
CIR841,0.01356767864410064,0.00567084228948635,118,107,112.5
CIR776,0.01221976034968547,0.0061631209518404955,120,105,112.5
CIR811,0.016137420012330286,0.004480807224878415,113,113,113.0
CIR798,0.013791320273179374,0.004791176771864706,117,110,113.5
CIR827,0.013884955740322212,0.004382670793841722,116,115,115.5
CIR839,0.018357892607770314,0.003111922139778416,109,122,115.5
CIR737,0.01916079114207946,0.0007270040731126656,105,129,117.0
CIR772,0.012879902141943138,0.003807321946629385,119,117,118.0
CIR805,0.011846880867056089,0.004479130517241997,123,114,118.5
CIR848,0.011957481089500073,0.004335592776683521,122,116,119.0
FP_AMP2,0.014450380403221127,0.0027782367800689768,115,124,119.5
CIR734,0.015952556636646176,0.002770075383599881,114,126,120.0
CIR819,0.01204044042416572,0.003657600369704562,121,119,120.0
CIR768,0.010053496783757651,0.003423081411149531,125,121,123.0
FRAME_LEN,0.008831707891103418,0.0034701701561114366,126,120,123.0
CIR770,0.011008875547869041,0.002775138832450319,124,125,124.5
CIR799,0.001783308778884056,0.002787423310370137,130,123,126.5
CIR840,0.0070416743831194836,0.0009209643804495817,128,128,128.0
CIR823,0.008749876204179852,0.0005586360078361931,127,132,129.5
CIR731,0.000950078612410334,0.0019253528721737447,132,127,129.5
CIR845,0.0023107617087959227,0.0005868576397932697,129,131,130.0
CIR791,0.0016162632401817915,0.0005943141360922657,131,130,130.5
CIR814,0.00021030251849893277,3.8565126196198986e-05,133,133,133.0
BITRATE,0.0,0.0,135,135,135.0
CH,0.0,0.0,135,135,135.0
PRFR,0.0,0.0,135,135,135.0
